📺收集线路,#genre#
湖南卫视,http://ys.rgood.xyz:8899/udp/239.77.0.127:5146
湖南卫视,http://ys.rgood.xyz:8899/udp/239.77.0.127:5146
湖南卫视,http://171.221.240.108:808/hls/15/index.m3u8
湖南卫视,http://113.57.150.190:9000/tsfile/live/0128_1.m3u8
湖南卫视,http://1304.hsmedia.top:8080/newlive/live/hls/27/live.m3u8
湖南卫视,http://1278.hsmedia.top:8080/newlive/live/hls/19/live.m3u8
湖南卫视,http://1583.hsmedia.top:8080/newlive/live/hls/34/live.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8

广东卫视,http://ys.rgood.xyz:8899/udp/239.77.1.19:5146
广东卫视,http://ys.rgood.xyz:8899/udp/239.77.1.152:5146
广东卫视,http://ys.rgood.xyz:8899/udp/239.77.0.232:5146
广东卫视,http://ys.rgood.xyz:8899/udp/239.77.0.84:5146
广东卫视,http://ys.rgood.xyz:8899/udp/239.77.0.166:5146
广东卫视,http://171.213.36.94:8888/udp/239.93.0.181:5140
广东卫视,http://171.221.240.108:808/hls/23/index.m3u8
广东卫视,http://113.57.150.190:9000/tsfile/live/0125_1.m3u8
广东卫视,http://1304.hsmedia.top:8080/newlive/live/hls/28/live.m3u8
广东卫视,http://1278.hsmedia.top:8080/newlive/live/hls/27/live.m3u8
广东卫视,http://1583.hsmedia.top:8080/newlive/live/hls/37/live.m3u8
广东卫视,blob:https://www.gdtv.cn/3022ae3f-f263-40b1-95d2-379503c3d8fe


广东珠江,http://ys.rgood.xyz:8899/udp/239.77.0.1:5146
广东珠江,http://ys.rgood.xyz:8899/udp/239.77.0.114:5146
广东珠江,blob:https://www.gdtv.cn/0cecd899-8186-4b2d-863b-b9047a95fc3e

深圳卫视,http://171.213.36.94:8888/udp/239.93.0.182:5140
深圳卫视,http://ys.rgood.xyz:8899/udp/239.77.1.3:5146
深圳卫视,http://113.57.150.190:9000/tsfile/live/1015_1.m3u8
深圳卫视,http://1639.hsmedia.top:8080/newlive/live/hls/28/live.m3u8
深圳卫视,http://1278.hsmedia.top:8080/newlive/live/hls/25/live.m3u8
深圳卫视,http://1583.hsmedia.top:8080/newlive/live/hls/38/live.m3u8

江苏卫视,http://ys.rgood.xyz:8899/udp/239.77.0.90:5146
江苏卫视,http://ys.rgood.xyz:8899/udp/239.77.0.126:5146
江苏卫视,http://ys.rgood.xyz:8899/udp/239.77.1.18:5146
江苏卫视,http://ys.rgood.xyz:8899/udp/239.77.1.149:5146
江苏卫视,http://ys.rgood.xyz:8899/udp/239.77.0.90:5146
江苏卫视,,http://ys.rgood.xyz:8899/udp/239.77.0.126:5146
江苏卫视,http://1583.hsmedia.top:8080/newlive/live/hls/29/live.m3u8
江苏卫视,http://171.213.36.94:8888/udp/239.93.0.89:5140
江苏卫视,http://171.221.240.108:808/hls/16/index.m3u8
江苏卫视,http://1278.hsmedia.top:8080/newlive/live/hls/21/live.m3u8
江苏卫视,http://113.57.150.190:9000/tsfile/live/0127_1.m3u8
江苏卫视,http://1304.hsmedia.top:8080/newlive/live/hls/32/live.m3u8


厦门卫视,http://42.179.40.167:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
福建东南卫视,http://ys.rgood.xyz:8899/udp/239.77.0.146:5146
福建东南卫视,http://ys.rgood.xyz:8899/udp/239.77.0.146:5146
福建东南卫视,http://171.213.36.94:8888/udp/239.93.0.42:5140
福建东南卫视,http://171.221.240.108:808/hls/27/index.m3u8
福建东南卫视,http://113.57.150.190:9000/tsfile/live/0137_1.m3u8
福建东南卫视,http://1583.hsmedia.top:8080/newlive/live/hls/40/live.m3u8


浙江卫视,http://ys.rgood.xyz:8899/udp/239.77.0.125:5146
浙江卫视,http://ys.rgood.xyz:8899/udp/239.77.0.89:5146
浙江卫视,http://ys.rgood.xyz:8899/udp/239.77.1.33:5146
浙江卫视,http://ys.rgood.xyz:8899/udp/239.77.1.150:5146
浙江卫视,http://1583.hsmedia.top:8080/newlive/live/hls/30/live.m3u8
